         OffspringID             FatherID             MotherID  ClusterIndex
        15.D056.8HLL                  Dad_72                  Mom_71             8
       15.D051.2PACL                  Dad_71                  Mom_38             8
       15.D051.5PACL                  Dad_42                  Mom_64             2
       15.D052.1PACL                  Dad_53                  Mom_42             2
       15.D052.4PACL                  Dad_43                  Mom_35             4
       15.D052.7PACL                  Dad_41                   Mom_4             3
       15.D052.8PACL                  Dad_67                  Mom_65             8
      15.D052.13PACL                  Dad_44                  Mom_66             8
       15.D053.2PACL                  Dad_44                  Mom_32             8
       15.D053.5PACL                  Dad_57                  Mom_57             3
      15.D053.10PACL                  Dad_58                  Mom_51             7
      15.D053.12PACL                  Dad_22                  Mom_52             5
      15.D053.14PACL                   Dad_7                   Mom_7             5
      15.D053.18PACL                  Dad_32                  Mom_63             8
      15.D053.22PACL                  Dad_31                  Mom_22             1
      15.D053.25PACL                  Dad_44                  Mom_65             8
      15.D053.28PACL                  Dad_26                  Mom_61             8
      15.D053.32PACL                  Dad_19                  Mom_59             7
      15.D053.36PACL                  Dad_22                  Mom_16             5
       15.D054.2PACL                  Dad_30                  Mom_34             1
       15.D054.6PACL                   Dad_8                  Mom_18             5
       15.D063.3PACL                  Dad_10                  Mom_69             6
       15.D064.1PACL                  Dad_38                  Mom_71             8
       15.D065.1PACL                  Dad_38                  Mom_70             8
       15.D080.1PACL                  Dad_69                  Mom_60             7
       15.D085.1PACL                  Dad_20                  Mom_56             7
       15.D086.2PACL                   Dad_2                   Mom_8             2
       15.D091.1PACL                  Dad_69                  Mom_49             7
       15.R385.1PACL                  Dad_63                  Mom_49             7
       15.R385.2PACL                  Dad_73                  Mom_54             3
       15.R385.3PACL                  Dad_72                  Mom_63             8
       15.R385.4PACL                  Dad_29                  Mom_38             8
       15.R385.5PACL                  Dad_20                  Mom_59             7
       15.R385.6PACL                  Dad_51                  Mom_36             4
       15.R385.7PACL                  Dad_73                  Mom_41             3
       15.R385.8PACL                  Dad_73                  Mom_68             3
       15.R385.9PACL                  Dad_71                  Mom_37             8
      15.R385.10PACL                  Dad_73                  Mom_68             3
      15.R385.11PACL                  Dad_20                  Mom_56             7
      15.R385.12PACL                  Dad_16                  Mom_23             5
      15.R385.13PACL                  Dad_19                  Mom_49             7
      15.R385.14PACL                  Dad_73                  Mom_41             3
      15.R385.15PACL                  Dad_74                  Mom_29             7
      15.R385.16PACL                  Dad_10                  Mom_53             6
      15.R385.17PACL                  Dad_45                  Mom_68             3
      15.R385.18PACL                  Dad_45                  Mom_54             3
      15.R385.19PACL                  Dad_73                  Mom_58             3
      15.R385.20PACL                  Dad_74                  Mom_29             7
      15.R385.21PACL                  Dad_73                  Mom_68             3
       15.R389.1PACL                  Dad_58                  Mom_29             7
       15.R391.1PACL                  Dad_74                  Mom_67             7
       15.R387.4MASL                   Dad_4                  Mom_54             3
        15.R384.3HLL                  Dad_29                  Mom_61             8
        15.R384.6HLL                  Dad_55                  Mom_23             5
       15.R384.10HLL                  Dad_30                  Mom_22             1
       15.R384.13HLL                  Dad_11                  Mom_48             4
       15.R384.16HLL                   Dad_8                  Mom_52             5
       15.R384.20HLL                   Dad_8                  Mom_52             5
       15.R384.24HLL                  Dad_32                  Mom_55             8
       15.R384.28HLL                  Dad_43                  Mom_11             4
       15.R384.32HLL                  Dad_24                  Mom_49             7
       15.R384.35HLL                  Dad_35                  Mom_47             8
        15.R386.3HLL                  Dad_65                  Mom_64             2
        15.R386.6HLL                  Dad_69                  Mom_72             7
        15.R386.8HLL                  Dad_25                  Mom_63             8
       15.R386.12HLL                  Dad_68                  Mom_73             1
       15.R386.16HLL                  Dad_58                  Mom_56             7
       15.R386.20HLL                  Dad_19                  Mom_72             7
       15.R386.24HLL                  Dad_60                  Mom_51             7
       15.R386.27HLL                  Dad_30                  Mom_34             1
       15.R386.31HLL                  Dad_32                  Mom_45             8
       15.R386.35HLL                  Dad_72                  Mom_66             8
       15.R386.36HLL                  Dad_37                  Mom_10             4
       15.R386.40HLL                  Dad_48                  Mom_10             4
       15.R386.43HLL                  Dad_35                  Mom_71             8
