observed	chao	chao.se	jack1	jack1.se	jack2	boot	boot.se	noff_gt	type	year	noff.sample	rep
73	249.89	76.4811036211632	128.86	9.17293846049345	175.116326530612	95.1440535397779	3.51300293723496	50	all	2008	50	25
78	328.88	109.782854763392	140.72	10.0332248056146	194.636734693878	102.558201731658	3.78768320083241	50	all	2008	50	26
80	287.025	84.4420426239205	143.7	10.080972175341	196.695918367347	105.196540773687	3.76076767272942	50	all	2008	50	27
80	354.95125	119.323299289453	145.66	10.4607265522047	202.456734693878	105.605380045359	3.82794212455165	50	all	2008	50	28
80	354.95125	119.323299289453	145.66	10.175794809252	202.456734693878	105.605380045359	3.73053903494933	50	all	2008	50	29
79	223.889230769231	55.804182718872	139.76	9.63663841803769	187.054693877551	103.448358387431	3.68840219254237	50	all	2008	50	30
79	316.16	99.4754705665896	143.68	9.93309619403739	198.576326530612	104.28558848088	3.64499595312921	50	all	2008	50	31
78	218.253076923077	54.2521700830154	137.78	9.78899381959147	184.114693877551	102.054324456615	3.76508360102657	50	all	2008	50	32
76	169.647647058824	34.9993335474916	131.86	9.48803456992016	170.59306122449	98.9863505058795	3.71061479995669	50	all	2008	50	33
80	331.751111111111	104.985591622305	146.64	10.5993962092187	203.456326530612	105.958284413869	3.87691513859653	50	all	2008	50	34
82	341.21	107.795214540247	149.62	10.3647286505726	207.396326530612	108.448138723223	3.79498094673777	50	all	2008	50	35
76	241.753636363636	66.8206981619842	135.78	9.88859949638977	183.995510204082	99.7405849006245	3.77731796540763	50	all	2008	50	36
79	228.600769230769	57.3772288918852	140.74	9.98524912057781	188.994693877551	103.707468839499	3.74792191702269	50	all	2008	50	37
82	315.289	93.9716190565003	149.62	10.7362749592212	206.455918367347	108.52238108956	3.92238172574365	50	all	2008	50	38
73	279.045	91.8736208229816	129.84	9.43521064947678	177.996734693878	95.3484731756141	3.58833514822346	50	all	2008	50	39
80	239.25	60.5864052407799	143.7	10.2735582930161	193.874693877551	105.406550706249	3.83576491974762	50	all	2008	50	40
78	266.356	77.6212366920291	138.76	10.0351781249762	188.875918367347	102.149362459986	3.79044784352042	50	all	2008	50	41
81	280.964545454545	78.8812534175343	146.66	10.4607265522047	200.635510204082	106.923927522908	3.85474513667163	50	all	2008	50	42
84	284.083333333333	76.3139205361158	152.6	10.8714304486576	208.515102040816	111.141168581484	3.96162124716957	50	all	2008	50	43
80	234.387692307692	58.9713044031858	142.72	9.9350691995577	191.934693877551	105.101502770315	3.75560683589368	50	all	2008	50	44
82	265.300833333333	70.633957210176	147.66	10.4607265522047	200.695102040816	108.093990267783	3.90634354166884	50	all	2008	50	45
80	239.25	60.5864052407799	143.7	10.080972175341	193.874693877551	105.380164772488	3.78265064801668	50	all	2008	50	46
79	279.704	82.1373516592786	141.72	10.2267101259398	193.755918367347	103.802506842871	3.83084435644745	50	all	2008	50	47
89	428.787777777778	137.891488512716	166.42	11.6889520488365	233.796326530612	118.983707595141	4.09389046081755	50	all	2008	50	48
75	201.796923076923	49.7223784296829	131.84	9.53851141426166	175.294693877551	97.9468797303136	3.70837135598806	50	all	2008	50	49
77	259.329	75.4098199712743	136.78	9.68836415500574	185.935918367347	100.75532852917	3.69953504075515	50	all	2008	50	50
84	410.40125	139.575462049908	155.54	11.1798568863828	218.096734693878	111.69973667276	4.01785689905995	50	all	2008	50	51
81	300.961	89.1446745694884	146.66	10.4607265522047	201.575918367347	106.849685156571	3.87064198443697	50	all	2008	50	52
