off	mom	dad	type
MR10J_04_12_012	MR09A_0146	MR09A_0431	both
MR10J_04_12_013	MR09A_0020	MR09A_0651	both
MR10J_04_12_015	MR09A_0560	MR09A_0431	both
MR10J_04_12_018	MR09A_0540	MR09A_0029	both
MR10J_04_12_019	MR09A_0049	MR09A_0955	both
MR10J_04_12_020	MR09A_0158	MR09A_0939	both
MR10J_04_12_021	MR09A_0288	MR09A_0431	both
MR10J_04_12_022	MR09A_0564	MR09A_1185	both
MR10J_04_12_023	MR09A_0565	MR09A_0208	both
MR10J_04_12_024	MR09A_1345	MR09A_0584	both
MR10J_04_12_025	MR09A_0369	MR09A_0370	both
MR10J_04_12_028	MR09A_0163	MR09A_1212	both
MR10J_04_13_001	MR09A_0147	MR09A_0431	both
MR10J_04_13_002	MR09A_0369	MR09A_0987	both
MR10J_04_13_003	MR09A_0515	MR09A_0323	both
MR10J_04_13_004	MR09A_0564	MR09A_1185	both
MR10J_04_13_005	MR09A_0205	MR09A_0891	both
MR10J_04_13_007	MR09A_0173	MR09A_0435	both
MR10J_04_13_012	MR09A_0765	MR09A_1188	both
MR10J_04_13_014	MR09A_1245	MR09A_0441	both
MR10J_04_13_015	MR09A_0157	MR09A_0603	both
MR10J_04_13_016	MR09A_1021	MR09A_1155	both
MR10J_04_13_017	MR09A_0552	MR09A_1128	both
MR10J_04_13_018	MR09A_0173	MR09A_0435	both
MR10J_04_13_019	MR09A_0606	MR09A_0462	both
MR10J_04_13_020	MR09A_1197	MR09A_1365	both
MR10J_04_13_022	MR09A_0726	MR09A_1066	both
MR10J_04_13_023	MR09A_0207	MR09A_0368	both
MR10J_04_13_024	MR09A_0961	MR09A_1062	both
MR10J_04_14_001	MR09A_0961	MR09A_1062	both
MR10J_04_14_002	MR09A_0157	MR09A_0603	both
MR10J_04_14_003	MR09A_0709	MR09A_0178	both
MR10J_04_14_004	MR09A_0912	MR09A_0448	both
MR10J_04_14_007	MR09A_0961	MR09A_1062	both
MR10J_04_14_008	MR09A_0211	MR09A_0323	both
MR10J_04_14_011	MR09A_1197	MR09A_0483	both
MR10J_04_14_013	MR09A_0729	MR09A_1157	both
MR10J_04_14_015	MR09A_0220	MR09A_0244	both
MR10J_04_14_016	MR09A_0373	MR09A_0913	both
MR10J_04_14_018	MR09A_1245	MR09A_0441	both
MR10J_04_14_019	MR09A_0173	MR09A_0435	both
MR10J_04_14_020	MR09A_0688	MR09A_0875	both
MR10J_04_14_022	MR09A_0761	MR09A_0440	both
MR10J_04_14_023	MR09A_0726	MR09A_0823	both
MR10J_04_14_024	MR09A_0369	MR09A_0987	both
MR10J_04_15_001	MR09A_0606	MR09A_0462	both
MR10J_04_15_002	MR09A_0765	MR09A_1188	both
MR10J_04_15_003	MR09A_0912	MR09A_0448	both
MR10J_04_15_004	MR09A_0765	MR09A_1188	both
MR10J_04_15_005	MR09A_0211	MR09A_0323	both
MR10J_04_15_007	MR09A_0761	MR09A_0303	both
MR10J_04_15_008	MR09A_0173	MR09A_0435	both
MR10J_04_15_013	MR09A_0049	MR09A_0955	both
MR10J_04_15_014	MR09A_0035	MR09A_1188	both
