n.par	n.mom	n.dad	sex.ratio	noff	female.rs	females.mates	male.rs	male.mates	mp.count	mp.rs	type	lost	sim
100	50	50	1	324442	6548.1	2.47	6417.14	2.42	121	130.962	Before	0	79
95	50	45	0.9	500	10.06	2.24	10.96	2.44	110	0.224	After	12	79
100	50	50	1	290375	5844.45	1.86	5727.56	1.82	91	116.889	Before	0	80
100	50	50	1	500	10.12	1.78	9.92	1.74	87	0.202	After	4	80
100	50	50	1	301573	5989.61	2.53	5869.82	2.48	124	119.792	Before	0	81
100	50	50	1	500	9.94	2.35	9.74	2.3	115	0.199	After	10	81
100	50	50	1	303020	6086.37	2.69	5964.64	2.64	132	121.727	Before	0	82
100	50	50	1	500	10.06	2.57	9.86	2.52	126	0.201	After	6	82
100	50	50	1	285937	5771.78	1.71	5656.34	1.68	84	115.436	Before	0	83
99	49	50	1.02	500	10.23	1.71	9.82	1.64	82	0.205	After	2	83
100	50	50	1	320628	6447.27	4.69	6318.32	4.6	230	128.945	Before	0	84
99	50	49	0.98	500	10.06	3.76	10.06	3.76	184	0.205	After	47	84
100	50	50	1	305042	6107.47	4.57	5985.32	4.48	224	122.149	Before	0	85
98	50	48	0.96	500	9.98	3.65	10.19	3.73	179	0.208	After	45	85
100	50	50	1	302392	6078.37	2.63	5956.8	2.58	129	121.567	Before	0	86
99	50	49	0.98	500	10.14	2.47	10.14	2.47	121	0.207	After	9	86
100	50	50	1	315485	6327.45	4.33	6200.9	4.24	212	126.549	Before	0	87
100	50	50	1	500	9.96	3.53	9.76	3.46	173	0.199	After	39	87
100	50	50	1	285832	5719.27	4.51	5604.88	4.42	221	114.385	Before	0	88
100	50	50	1	500	10	3.65	9.8	3.58	179	0.2	After	42	88
100	50	50	1	308584	6144.12	3.31	6021.24	3.24	162	122.882	Before	0	89
100	50	50	1	500	9.86	2.84	9.66	2.78	139	0.197	After	23	89
100	50	50	1	321808	6485.39	3.98	6355.68	3.9	195	129.708	Before	0	90
98	50	48	0.96	500	10.06	3.33	10.27	3.4	163	0.21	After	32	90
100	50	50	1	302965	6057.94	1.71	5936.78	1.68	84	121.159	Before	0	91
97	50	47	0.94	500	9.9	1.63	10.32	1.7	80	0.211	After	4	91
100	50	50	1	310256	6273.71	3.39	6148.24	3.32	166	125.474	Before	0	92
99	50	49	0.98	500	10.1	3.2	10.1	3.2	157	0.206	After	9	92
100	50	50	1	332950	6614.08	3.67	6481.8	3.6	180	132.282	Before	0	93
100	50	50	1	500	9.92	3.2	9.72	3.14	157	0.198	After	24	93
100	50	50	1	282785	5685.31	4.57	5571.6	4.48	224	113.706	Before	0	94
100	50	50	1	500	10.06	3.76	9.86	3.68	184	0.201	After	40	94
100	50	50	1	304207	6127.31	2.55	6004.76	2.5	125	122.546	Before	0	95
99	50	49	0.98	500	10.1	2.22	10.1	2.22	109	0.206	After	16	95
100	50	50	1	322765	6526.37	1.86	6395.84	1.82	91	130.527	Before	0	96
99	50	49	0.98	500	10.08	1.78	10.08	1.78	87	0.206	After	4	96
100	50	50	1	307083	6212.22	3.35	6087.98	3.28	164	124.244	Before	0	97
100	50	50	1	500	10.16	3.12	9.96	3.06	153	0.203	After	12	97
100	50	50	1	316861	6343.73	2.35	6216.86	2.3	115	126.875	Before	0	98
100	50	50	1	500	10	2.22	9.8	2.18	109	0.2	After	6	98
100	50	50	1	285077	5737.65	2.43	5622.9	2.38	119	114.753	Before	0	99
100	50	50	1	500	10	2.31	9.8	2.26	113	0.2	After	6	99
