n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	true.npar	true.noff	true.lambda	true.sr	true.sckew	mat
28	12	16	1.33	25	2.08	1.16	1.42	3	1.56	0.89	1.06	2	17	0.13	50	25	4	1	uniform	Subsampled
50	25	25	1	180324	7212.96	2238.75	4.4	11	7212.96	4794.08	4.4	9	110	288.518	50	25	4	1	uniform	Original
31	16	15	0.94	25	1.56	0.81	1.38	2	1.67	0.9	1.47	3	22	0.104	50	25	4	1	uniform	Subsampled
50	25	25	1	192400	7696	2529.2	4.32	9	7696	4591.98	4.32	9	108	307.84	50	25	4	1	uniform	Original
28	14	14	1	25	1.79	1.12	1.36	3	1.79	1.48	1.36	4	19	0.128	50	25	4	1	uniform	Subsampled
50	25	25	1	176091	7043.64	2339.2	3.32	6	7043.64	4790.42	3.32	7	83	281.746	50	25	4	1	uniform	Original
29	16	13	0.81	25	1.56	0.81	1.38	3	1.92	0.86	1.69	4	22	0.12	50	25	4	1	uniform	Subsampled
50	25	25	1	194402	7776.08	2356.08	2.48	6	7776.08	6252.53	2.48	8	62	311.043	50	25	4	1	uniform	Original
24	12	12	1	25	2.08	0.9	1.5	3	2.08	1	1.5	2	18	0.174	50	25	4	1	uniform	Subsampled
50	25	25	1	184096	7363.84	2323.19	4.12	7	7363.84	4384.03	4.12	8	103	294.554	50	25	4	1	uniform	Original
26	12	14	1.17	25	2.08	0.79	1.5	2	1.79	0.7	1.29	2	18	0.149	50	25	4	1	uniform	Subsampled
50	25	25	1	210527	8421.08	2460.35	1.92	4	8421.08	6349.47	1.92	5	48	336.843	50	25	4	1	uniform	Original
33	18	15	0.83	25	1.39	0.7	1.17	2	1.67	0.82	1.4	4	21	0.093	50	25	4	1	uniform	Subsampled
50	25	25	1	195323	7812.92	2253.52	4.48	9	7812.92	4233.23	4.48	8	112	312.517	50	25	4	1	uniform	Original
29	15	14	0.93	25	1.67	0.82	1.33	3	1.79	1.53	1.43	4	20	0.119	50	25	4	1	uniform	Subsampled
50	25	25	1	194949	7797.96	2804.81	2.32	5	7797.96	5088.42	2.32	4	58	311.918	50	25	4	1	uniform	Original
33	17	16	0.94	25	1.47	0.62	1.24	3	1.56	0.73	1.31	3	21	0.092	50	25	4	1	uniform	Subsampled
50	25	25	1	191623	7664.92	2057.42	1.84	4	7664.92	6260.11	1.84	5	46	306.597	50	25	4	1	uniform	Original
31	16	15	0.94	25	1.56	0.96	1.25	3	1.67	1.05	1.33	3	20	0.104	50	25	4	1	uniform	Subsampled
50	25	25	1	202171	8086.84	2191.1	2.48	5	8086.84	5377.12	2.48	5	62	323.474	50	25	4	1	uniform	Original
27	13	14	1.08	25	1.92	0.64	1.38	2	1.79	0.97	1.29	3	18	0.137	50	25	4	1	uniform	Subsampled
50	25	25	1	202621	8104.84	2714.37	2.68	6	8104.84	5412.18	2.68	5	67	324.194	50	25	4	1	uniform	Original
32	16	16	1	25	1.56	0.89	1.31	2	1.56	0.89	1.31	2	21	0.098	50	25	4	1	uniform	Subsampled
50	25	25	1	197506	7900.24	2327.29	2.08	4	7900.24	5840.33	2.08	5	52	316.01	50	25	4	1	uniform	Original
33	17	16	0.94	25	1.47	0.62	1.35	3	1.56	0.63	1.44	2	23	0.092	50	25	4	1	uniform	Subsampled
50	25	25	1	201028	8041.12	2189.06	1.64	4	8041.12	5386.67	1.64	3	41	321.645	50	25	4	1	uniform	Original
27	14	13	0.93	25	1.79	1.05	1.21	2	1.92	1.19	1.31	2	17	0.137	50	25	4	1	uniform	Subsampled
50	25	25	1	173989	6959.56	2397.21	3.08	6	6959.56	4030.61	3.08	7	77	278.382	50	25	4	1	uniform	Original
28	13	15	1.15	25	1.92	1.19	1.54	4	1.67	0.9	1.33	2	20	0.128	50	25	4	1	uniform	Subsampled
50	25	25	1	196819	7872.76	1671.04	1.52	4	7872.76	4233.37	1.52	2	38	314.91	50	25	4	1	uniform	Original
28	14	14	1	25	1.79	1.19	1.21	3	1.79	0.8	1.21	2	17	0.128	50	25	4	1	uniform	Subsampled
50	25	25	1	206156	8246.24	2028.37	4.24	10	8246.24	3930.28	4.24	7	106	329.85	50	25	4	1	uniform	Original
29	15	14	0.93	25	1.67	0.98	1.4	3	1.79	0.97	1.5	3	21	0.119	50	25	4	1	uniform	Subsampled
50	25	25	1	226542	9061.68	2795.35	3.76	7	9061.68	7690.87	3.76	10	94	362.467	50	25	4	1	uniform	Original
27	14	13	0.93	25	1.79	0.97	1.5	2	1.92	1.12	1.62	4	21	0.137	50	25	4	1	uniform	Subsampled
50	25	25	1	191598	7663.92	2532.67	3.92	8	7663.92	4246.75	3.92	7	98	306.557	50	25	4	1	uniform	Original
32	17	15	0.88	25	1.47	0.62	1.35	2	1.67	1.05	1.53	3	23	0.098	50	25	4	1	uniform	Subsampled
50	25	25	1	200061	8002.44	2113.66	1.64	3	8002.44	5914.46	1.64	4	41	320.098	50	25	4	1	uniform	Original
30	16	14	0.88	25	1.56	0.96	1.12	2	1.79	0.97	1.29	3	18	0.112	50	25	4	1	uniform	Subsampled
50	25	25	1	186034	7441.36	1767.27	3.92	8	7441.36	3500.68	3.92	9	98	297.654	50	25	4	1	uniform	Original
33	15	18	1.2	25	1.67	0.72	1.47	3	1.39	0.78	1.22	2	22	0.093	50	25	4	1	uniform	Subsampled
50	25	25	1	198034	7921.36	2655.36	1.92	4	7921.36	3826.31	1.92	3	48	316.854	50	25	4	1	uniform	Original
28	14	14	1	25	1.79	0.89	1.07	2	1.79	0.89	1.07	2	15	0.128	50	25	4	1	uniform	Subsampled
50	25	25	1	190693	7627.72	2453.97	3.44	8	7627.72	6537.59	3.44	7	86	305.109	50	25	4	1	uniform	Original
32	16	16	1	25	1.56	1.03	1.38	4	1.56	1.03	1.38	3	22	0.098	50	25	4	1	uniform	Subsampled
50	25	25	1	179084	7163.36	2492.66	2.6	6	7163.36	5839.23	2.6	4	65	286.534	50	25	4	1	uniform	Original
29	17	12	0.71	25	1.47	0.72	1.18	2	2.08	1.73	1.67	4	20	0.123	50	25	4	1	uniform	Subsampled
50	25	25	1	202023	8080.92	2561.19	3.12	6	8080.92	4499.77	3.12	6	78	323.237	50	25	4	1	uniform	Original
32	17	15	0.88	25	1.47	0.62	1.35	2	1.67	0.98	1.53	3	23	0.098	50	25	4	1	uniform	Subsampled
50	25	25	1	217234	8689.36	2482.89	1.56	3	8689.36	6070.85	1.56	4	39	347.574	50	25	4	1	uniform	Original
29	15	14	0.93	25	1.67	0.98	1.33	2	1.79	0.89	1.43	2	20	0.119	50	25	4	1	uniform	Subsampled
50	25	25	1	210002	8400.08	2244.24	1.72	3	8400.08	8010.28	1.72	5	43	336.003	50	25	4	1	uniform	Original
31	17	14	0.82	25	1.47	0.51	1.12	2	1.79	1.12	1.36	3	19	0.105	50	25	4	1	uniform	Subsampled
50	25	25	1	190253	7610.12	2041.28	3.12	7	7610.12	3291.79	3.12	5	78	304.405	50	25	4	1	uniform	Original
35	16	19	1.19	25	1.56	0.89	1.38	3	1.32	0.48	1.16	2	22	0.082	50	25	4	1	uniform	Subsampled
50	25	25	1	209040	8361.6	2001.21	2	5	8361.6	5264.23	2	4	50	334.464	50	25	4	1	uniform	Original
31	16	15	0.94	25	1.56	0.73	1.25	3	1.67	0.9	1.33	3	20	0.104	50	25	4	1	uniform	Subsampled
100	50	50	1	383589	7671.78	2199.81	4.3	10	7671.78	3782.49	4.3	8	215	153.436	100	25	4	1	uniform	Original
39	22	17	0.77	25	1.14	0.47	1.05	2	1.47	0.62	1.35	3	23	0.067	100	25	4	1	uniform	Subsampled
100	50	50	1	386706	7734.12	2240.81	1.68	4	7734.12	5108.35	1.68	4	84	154.682	100	25	4	1	uniform	Original
40	21	19	0.9	25	1.19	0.4	1.1	2	1.32	0.75	1.21	2	23	0.063	100	25	4	1	uniform	Subsampled
100	50	50	1	398647	7972.94	2033.99	3.3	8	7972.94	4191.14	3.3	6	165	159.459	100	25	4	1	uniform	Original
38	20	18	0.9	25	1.25	0.72	1.05	2	1.39	0.85	1.17	2	21	0.069	100	25	4	1	uniform	Subsampled
