n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	type	lost	sim	true.npar	true.noff	true.sr	true.lambda
22	12	10	0.83	25	2.08	0.9	1.67	3	2.5	1.08	2	4	20	0.208	After	28	48	25	25	1	4
25	13	12	0.92	60390	4645.38	1117.45	3.15	6	5032.5	2695.48	3.42	7	41	387.115	Before	0	49	25	25	1	4
21	11	10	0.91	25	2.27	1.35	1.55	3	2.5	1.72	1.7	3	17	0.227	After	24	49	25	25	1	4
25	13	12	0.92	63530	4886.92	1273.26	4.08	7	5294.17	2263.07	4.42	7	53	407.244	Before	0	50	25	25	1	4
21	11	10	0.91	25	2.27	1.85	1.73	3	2.5	2.07	1.9	4	19	0.227	After	34	50	25	25	1	4
25	13	12	0.92	62977	4844.38	1238.45	3.77	7	5248.08	3383.25	4.08	8	49	403.699	Before	0	51	25	25	1	4
19	11	8	0.73	25	2.27	1.56	1.64	4	3.12	2.3	2.25	4	18	0.284	After	31	51	25	25	1	4
25	13	12	0.92	55767	4289.77	1370.98	3.15	5	4647.25	3191.7	3.42	8	41	357.481	Before	0	52	25	25	1	4
19	9	10	1.11	25	2.78	1.56	1.89	3	2.5	1.84	1.7	3	17	0.278	After	24	52	25	25	1	4
25	13	12	0.92	58099	4469.15	1315.06	1.85	4	4841.58	3463.28	2	4	24	372.429	Before	0	53	25	25	1	4
22	12	10	0.83	25	2.08	1.31	1.33	2	2.5	1.9	1.6	4	16	0.208	After	8	53	25	25	1	4
25	13	12	0.92	63088	4852.92	1148.61	2.69	5	5257.33	4396	2.92	5	35	404.41	Before	0	54	25	25	1	4
19	11	8	0.73	25	2.27	1.19	1.45	2	3.12	2.53	2	3	16	0.284	After	19	54	25	25	1	4
25	13	12	0.92	63935	4918.08	1008.53	2.31	5	5327.92	4075.38	2.5	5	30	409.84	Before	0	55	25	25	1	4
17	10	7	0.7	25	2.5	2.17	1.3	3	3.57	4.12	1.86	3	13	0.357	After	17	55	25	25	1	4
25	13	12	0.92	58909	4531.46	1147.02	2.31	5	4909.08	3385.89	2.5	5	30	377.622	Before	0	56	25	25	1	4
21	12	9	0.75	25	2.08	1.38	1.33	2	2.78	2.22	1.78	5	16	0.231	After	14	56	25	25	1	4
25	13	12	0.92	56961	4381.62	1111.73	1.54	3	4746.75	2365.25	1.67	4	20	365.135	Before	0	57	25	25	1	4
21	11	10	0.91	25	2.27	1.49	1.09	2	2.5	1.84	1.2	2	12	0.227	After	8	57	25	25	1	4
25	13	12	0.92	59539	4579.92	951.4	3.77	8	4961.58	2311.83	4.08	6	49	381.66	Before	0	58	25	25	1	4
23	12	11	0.92	25	2.08	0.9	1.83	4	2.27	1.27	2	4	22	0.189	After	27	58	25	25	1	4
25	13	12	0.92	61854	4758	961.61	3.23	5	5154.5	2716.44	3.5	5	42	396.5	Before	0	59	25	25	1	4
21	12	9	0.75	25	2.08	0.9	1.58	3	2.78	1.3	2.11	4	19	0.231	After	23	59	25	25	1	4
25	13	12	0.92	60954	4688.77	954.69	4.23	6	5079.5	2153.07	4.58	8	55	390.731	Before	0	60	25	25	1	4
21	11	10	0.91	25	2.27	1.56	1.64	4	2.5	0.85	1.8	3	18	0.227	After	37	60	25	25	1	4
25	13	12	0.92	53174	4090.31	1293.41	2.15	4	4431.17	3107	2.33	4	28	340.859	Before	0	61	25	25	1	4
19	10	9	0.9	25	2.5	1.35	1.5	2	2.78	2.11	1.67	3	15	0.278	After	13	61	25	25	1	4
25	13	12	0.92	56517	4347.46	1130.84	1.77	4	4709.75	3414.84	1.92	3	23	362.288	Before	0	62	25	25	1	4
20	11	9	0.82	25	2.27	1.27	1.18	2	2.78	2.39	1.44	2	13	0.253	After	10	62	25	25	1	4
25	13	12	0.92	49187	3783.62	902.14	3.77	5	4098.92	2648.62	4.08	9	49	315.301	Before	0	63	25	25	1	4
