n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	type	lost	sim	true.npar	true.noff	true.sr	true.lambda
40	21	19	0.9	25	1.19	0.51	1.1	2	1.32	0.58	1.21	2	23	0.063	After	137	39	100	25	1	4
100	50	50	1	233896	4677.92	1167.73	3.48	8	4677.92	3677.52	3.48	10	174	93.558	Before	0	40	100	25	1	4
41	21	20	0.95	25	1.19	0.4	1.14	2	1.25	0.44	1.2	2	24	0.06	After	150	40	100	25	1	4
100	50	50	1	228179	4563.58	1182.56	4.26	8	4563.58	2691.07	4.26	9	213	91.272	Before	0	41	100	25	1	4
40	21	19	0.9	25	1.19	0.4	1.14	2	1.32	0.58	1.26	2	24	0.063	After	189	41	100	25	1	4
100	50	50	1	233648	4672.96	1150.06	2.38	5	4672.96	2787.58	2.38	5	119	93.459	Before	0	42	100	25	1	4
36	17	19	1.12	25	1.47	0.72	1.18	2	1.32	0.58	1.05	2	20	0.077	After	99	42	100	25	1	4
100	50	50	1	221200	4424	1119.71	2.78	6	4424	2835.47	2.78	6	139	88.48	Before	0	43	100	25	1	4
36	20	16	0.8	25	1.25	0.44	1.15	2	1.56	0.63	1.44	3	23	0.078	After	116	43	100	25	1	4
100	50	50	1	217673	4353.46	1085.38	2.42	5	4353.46	3280.22	2.42	6	121	87.069	Before	0	44	100	25	1	4
39	20	19	0.95	25	1.25	0.55	1.2	2	1.32	0.75	1.26	3	24	0.066	After	97	44	100	25	1	4
100	50	50	1	210163	4203.26	1192.39	1.62	4	4203.26	3358.99	1.62	6	81	84.065	Before	0	45	100	25	1	4
31	16	15	0.94	25	1.56	0.96	1.06	2	1.67	0.9	1.13	2	17	0.104	After	64	45	100	25	1	4
100	50	50	1	233738	4674.76	1178.47	1.68	4	4674.76	3173.05	1.68	5	84	93.495	Before	0	46	100	25	1	4
43	22	21	0.95	25	1.14	0.35	1.05	2	1.19	0.4	1.1	2	23	0.054	After	61	46	100	25	1	4
100	50	50	1	211057	4221.14	1179.62	2.46	6	4221.14	2824.59	2.46	7	123	84.423	Before	0	47	100	25	1	4
34	17	17	1	25	1.47	1.01	1.29	2	1.47	0.72	1.29	3	22	0.087	After	101	47	100	25	1	4
100	50	50	1	229540	4590.8	1012.03	2.48	5	4590.8	3315.1	2.48	6	124	91.816	Before	0	48	100	25	1	4
34	18	16	0.89	25	1.39	0.61	1.06	2	1.56	0.81	1.19	3	19	0.087	After	105	48	100	25	1	4
100	50	50	1	223603	4472.06	1079.81	2.36	8	4472.06	2702.48	2.36	5	118	89.441	Before	0	49	100	25	1	4
41	21	20	0.95	25	1.19	0.51	1.05	2	1.25	0.55	1.1	2	22	0.06	After	96	49	100	25	1	4
100	50	50	1	236814	4736.28	1114.89	1.6	3	4736.28	3161.57	1.6	4	80	94.726	Before	0	50	100	25	1	4
42	21	21	1	25	1.19	0.4	1.05	2	1.19	0.4	1.05	2	22	0.057	After	58	50	100	25	1	4
100	50	50	1	214082	4281.64	1190.28	2.64	6	4281.64	2816.04	2.64	8	132	85.633	Before	0	51	100	25	1	4
