Species	chao	chao.se	jack1	jack1.se	jack2	boot	boot.se	n	true_n	true_off	errors	type_a	type_b	mat_sim_iter
59	78.6233333333333	9.54327356677835	87.42	6.44760420621489	95.5114285714286	72.636770424078	3.09701229273972	50	100	309838	No	0.02	0.002	10
67	88.3444	9.73601397566787	99.34	8.06307633598988	107.509795918367	82.6129923185146	4.13870259832597	50	100	309838	Yes	0.02	0.002	10
63	117.912666666667	23.4547406065068	103.18	7.67960936506539	128.43387755102	80.0231339004658	3.40800646468098	50	100	320769	No	0.02	0.002	11
72	163.035	36.5099984593262	121.98	11.2862925710793	157.774285714286	92.534944907815	4.96253018165031	50	100	320769	Yes	0.02	0.002	11
61	92.5921052631579	14.0778466056856	95.3	6.87997093017114	111.032244897959	76.3910015617283	3.24098895273637	50	100	322964	No	0.02	0.002	12
69	116.684736842105	19.4648316454837	111.14	11.8851672264213	134.552244897959	87.3043590024253	5.53342890330161	50	100	322964	Yes	0.02	0.002	12
61	79.375	8.80125612483809	90.4	6.81557040899733	96.6302040816327	75.3298002823386	3.34277899569904	50	100	317920	No	0.02	0.002	13
61	79.375	8.80125612483809	90.4	6.81557040899733	96.6302040816327	75.3298002823386	3.34277899569904	50	100	317920	Yes	0.02	0.002	13
61	139.4	36.162300811757	100.2	8.23504705511754	129.195918367347	77.1943364759796	3.54381878782088	50	100	306341	No	0.02	0.002	14
64	134.756	33.1419347896287	101.24	7.87243291492535	128.315918367347	79.7029634492335	3.60370843622572	50	100	306341	Yes	0.02	0.002	14
56	92.2223076923077	17.5056320386432	86.38	6.29065974282507	103.914693877551	69.332245912218	3.00889703485339	50	100	291740	No	0.02	0.002	15
61	85.7836842105263	11.677638675508	91.38	6.29065974282507	103.272244897959	75.0960941975184	3.45751554288774	50	100	291740	Yes	0.02	0.002	15
60	102.336	18.9993071031551	95.28	7.08903378465641	115.73387755102	75.3159768202242	3.24581935744044	50	100	319356	No	0.02	0.002	16
70	134.8025	26.313966593629	115.08	9.95280864881869	144.193469387755	89.0525413886812	4.50635405683274	50	100	319356	Yes	0.02	0.002	16
60	88.0847368421053	12.8531856023438	92.34	6.59190412551639	106.152244897959	74.7183056287393	3.10520469911468	50	100	318590	No	0.02	0.002	17
69	122.294705882353	22.0133829439799	111.14	9.18788332533669	136.43306122449	87.1558742697517	4.1182178523148	50	100	318590	Yes	0.02	0.002	17
58	91.4506666666667	15.7453335177501	89.36	6.51865016702078	105.97387755102	71.9705849542463	3.09119397038762	50	100	327195	No	0.02	0.002	18
62	91.430625	13.9759983160654	92.38	6.44456360043099	107.093469387755	75.947488224653	3.21573363300049	50	100	327195	Yes	0.02	0.002	18
65	119.912666666667	23.4547406065068	105.18	8.05334713023101	130.43387755102	82.2274918239912	3.48242113029372	50	100	318208	No	0.02	0.002	19
75	126.543333333333	20.1036564759673	121.06	9.49835775279074	146.431428571429	95.1011632125246	4.33070168556042	50	100	318208	Yes	0.02	0.002	19
56	85.435	14.5199238117836	84.42	6.44760420621489	99.0942857142857	68.8687158243132	3.13372534093197	50	100	282325	No	0.02	0.002	20
65	112.170666666667	20.7298545534552	102.24	9.45596108283024	124.61387755102	81.2307980120586	4.45963753870801	50	100	282325	Yes	0.02	0.002	20
53	78.48	13.2401812676413	78.48	6.22016076962646	91.214693877551	64.6319232156328	2.9644387047928	50	100	311161	No	0.02	0.002	21
62	93.36	14.6886622944365	93.36	8.00329931965561	109.033469387755	76.2065986767216	4.07462529004055	50	100	311161	Yes	0.02	0.002	21
63	86.2004347826087	10.5757604225339	95.34	6.88281918983784	105.390612244898	78.3222877798068	3.31649272288508	50	100	271739	No	0.02	0.002	22
63	86.2004347826087	10.5757604225339	95.34	6.88281918983784	105.390612244898	78.3222877798068	3.31649272288508	50	100	271739	Yes	0.02	0.002	22
