n.par	n.mom	n.dad	sex.ratio	noff	female.rs	female.sd	females.mates	max.female.mates	male.rs	male.sd	male.mates	max.male.mates	mp.count	mp.rs	type	lost	sim	true.npar	true.noff	true.sr	true.lambda
100	50	50	1	228146	4562.92	1167.94	1.64	6	4562.92	3379.82	1.64	4	82	91.258	Before	0	6	100	100	1	4
75	40	35	0.88	100	2.5	1.66	1.3	3	2.86	1.99	1.49	3	52	0.071	After	30	6	100	100	1	4
100	50	50	1	224147	4482.94	1087.02	4.6	10	4482.94	2159.57	4.6	9	230	89.659	Before	0	7	100	100	1	4
81	41	40	0.98	100	2.44	1.47	1.98	5	2.5	1.83	2.02	5	81	0.061	After	149	7	100	100	1	4
100	50	50	1	228697	4573.94	1062.06	4.14	9	4573.94	3109.35	4.14	11	207	91.479	Before	0	8	100	100	1	4
87	46	41	0.89	100	2.17	1.18	1.65	3	2.44	1.99	1.85	6	76	0.053	After	131	8	100	100	1	4
100	50	50	1	233081	4661.62	1169.75	2.46	8	4661.62	2974.69	2.46	5	123	93.232	Before	0	9	100	100	1	4
77	39	38	0.97	100	2.56	1.45	1.69	5	2.63	1.73	1.74	4	66	0.067	After	57	9	100	100	1	4
100	50	50	1	232368	4647.36	998.56	3.24	7	4647.36	2330.48	3.24	6	162	92.947	Before	0	10	100	100	1	4
78	38	40	1.05	100	2.63	1.44	1.76	3	2.5	1.32	1.68	4	67	0.066	After	95	10	100	100	1	4
100	50	50	1	227890	4557.8	1294.38	2.44	5	4557.8	3372.49	2.44	7	122	91.156	Before	0	11	100	100	1	4
78	42	36	0.86	100	2.38	1.46	1.52	3	2.78	2.14	1.78	5	64	0.066	After	58	11	100	100	1	4
100	50	50	1	223593	4471.86	1185.18	1.84	4	4471.86	3474.65	1.84	5	92	89.437	Before	0	12	100	100	1	4
79	41	38	0.93	100	2.44	1.43	1.29	2	2.63	1.91	1.39	4	53	0.064	After	39	12	100	100	1	4
100	50	50	1	224359	4487.18	1146.18	3.3	6	4487.18	3022.16	3.3	8	165	89.744	Before	0	13	100	100	1	4
77	36	41	1.14	100	2.78	1.64	1.75	4	2.44	2	1.54	4	63	0.068	After	102	13	100	100	1	4
100	50	50	1	220381	4407.62	1205.12	2.42	5	4407.62	3076.99	2.42	5	121	88.152	Before	0	14	100	100	1	4
81	44	37	0.84	100	2.27	1.13	1.52	4	2.7	1.76	1.81	4	67	0.061	After	54	14	100	100	1	4
100	50	50	1	216496	4329.92	1115.82	3.4	7	4329.92	2879.45	3.4	7	170	86.598	Before	0	15	100	100	1	4
81	44	37	0.84	100	2.27	1.3	1.64	3	2.7	2.05	1.95	5	72	0.061	After	98	15	100	100	1	4
