observed	chao	chao.se	jack1	jack1.se	jack2	boot	boot.se	noff_gt	type	year	noff.sample	rep
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	64
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	65
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	66
18	75.6	50.4571104999087	32.4	4.87442304278158	43.7777777777778	23.7936034064	1.8292528346159	10	All parents	2015	10	67
18	75.6	50.4571104999087	32.4	4.87442304278158	43.7777777777778	23.7936034064	1.8292528346159	10	All parents	2015	10	68
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	69
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	70
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	71
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	72
17	46.4	23.758787847868	29.6	4.50998891351187	38.6666666666667	22.2036207086	1.77977045576929	10	All parents	2015	10	73
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	74
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	75
20	191	78.4946908532456	38	5.84807660688538	54	26.973568802	1.99278233426842	10	All parents	2015	10	76
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	77
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	78
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	79
19	164.8	161.639599108634	35.2	5.38330753347791	48.8888888888889	25.3835861042	1.91942700264028	10	All parents	2015	10	80
